Old	New	ln_Old	ln_New	sqrt_Old	New/sqrt(Old)
2	1	0,6931	0,0000	1,41	0,7071
3	2	1,0986	0,6931	1,73	1,1547
4	2	1,3863	0,6931	2,00	1,0000
5	2	1,6094	0,6931	2,24	0,8944
6	3	1,7918	1,0986	2,45	1,2247
7	3	1,9459	1,0986	2,65	1,1339
8	3	2,0794	1,0986	2,83	1,0607
9	3	2,1972	1,0986	3,00	1,0000
10	4	2,3026	1,3863	3,16	1,2649
11	4	2,3979	1,3863	3,32	1,2060
14	4	2,6391	1,3863	3,74	1,0690
17	5	2,8332	1,6094	4,12	1,2127
20	5	2,9957	1,6094	4,47	1,1180
26	6	3,2581	1,7918	5,10	1,1767
30	6	3,4012	1,7918	5,48	1,0954
34	7	3,5264	1,9459	5,83	1,2005
40	8	3,6889	2,0794	6,32	1,2649
47	8	3,8501	2,0794	6,86	1,1669
55	9	4,0073	2,1972	7,42	1,2136
67	10	4,2047	2,3026	8,19	1,2217
68	10	4,2195	2,3026	8,25	1,2127
72	11	4,2767	2,3979	8,49	1,2964
76	11	4,3307	2,3979	8,72	1,2618
79	11	4,3694	2,3979	8,89	1,2376
80	11	4,3820	2,3979	8,94	1,2298
85	12	4,4427	2,4849	9,22	1,3016
89	12	4,4886	2,4849	9,43	1,2720
98	12	4,5850	2,4849	9,90	1,2122
100	13	4,6052	2,5649	10,00	1,3000
102	13	4,6250	2,5649	10,10	1,2872
105	13	4,6540	2,5649	10,25	1,2687
107	13	4,6728	2,5649	10,34	1,2568
115	14	4,7449	2,6391	10,72	1,3055
120	14	4,7875	2,6391	10,95	1,2780
126	14	4,8363	2,6391	11,22	1,2472
128	14	4,8520	2,6391	11,31	1,2374
134	15	4,8978	2,7081	11,58	1,2958
148	16	4,9972	2,7726	12,17	1,3152
150	16	5,0106	2,7726	12,25	1,3064
154	16	5,0370	2,7726	12,41	1,2893
161	16	5,0814	2,7726	12,69	1,2610
170	17	5,1358	2,8332	13,04	1,3038
178	17	5,1818	2,8332	13,34	1,2742
181	17	5,1985	2,8332	13,45	1,2636
187	18	5,2311	2,8904	13,67	1,3163
189	18	5,2417	2,8904	13,75	1,3093
191	18	5,2523	2,8904	13,82	1,3024
195	18	5,2730	2,8904	13,96	1,2890
